community_score,community_score_phrase,description,developers,genres,ign_score,ign_score_phrase,platforms,price,publisher,rating_category,rating_content,related_games,release_date,review_link,title,url
5.0,Mediocre,,AIM Software,Simulation,4.2,Bad,PC,,Project Two,RP for Rating Pending,,"http://www.ign.com/games/civilization-beyond-earth/pc-20016115,http://www.ign.com/games/simcity/pc-128952,http://www.ign.com/games/civilization-beyond-earth-rising-tide/pc-20040683,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Apr 1, 1999",http://pc.ign.com/articles/161/161805p1.html,Apollo 18: The Moon Missions,http://www.ign.com/games/apollo-18-the-moon-missions/pc-11805
6.3,Okay,"Ah, the smell of fresh cut grass and pine tar. It is spring, and that means that it is time for baseball. Thanks to HIGH HEAT BASEBALL 2000, you can play baseball anytime. Choose from all 30 Major League teams (all with their actual rosters) and hit the field. You can jump into the action with two randomly selected teams in a Quick Game, or if you prefer to pick your team and the opposition, play the Exhibition mode. Season mode will allow you experience the ups and downs of the Major Leagues, or cut to the chase and try to win the World Series in the Playoff mode. If you don't have enough time for a full game, take the Home Run Challenge and try to knock the cover off of the ball. HIGH HEAT BASEBALL 2000 will give you all of the action of professional baseball, even in the middle of winter.",Team .366,Sports,4.5,Bad,PS PC,25.99 USD,3DO,E for Everyone,Suitable for Persons Ages Six and Older,"http://www.ign.com/games/ncaa-football-2001/ps-14657,http://www.ign.com/games/nhl-2001/ps-14658,http://www.ign.com/games/tony-hawks-pro-skater-2/ps-14304,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673",May 1999,http://psx.ign.com/articles/161/161553p1.html,High Heat Baseball 2000,http://www.ign.com/games/high-heat-baseball-2000/ps-11553
7.7,Good,"Imagine Ben Hur in a galaxy far, far away. Replace the two-wheeled carriage with a futuristic, hovering pod -- now take away the horses and strap two giant afterburner-powered engines to the vehicle. The boost of the two fuselages pulls the carriage forward at speeds in excess of 600mph and a stream of pure energy, called a mag beam or coupler, makes sure that the engines don't fly off in opposite directions. Like its ""real,"" up to 40-foot-long counterparts in the movie, Racer's pods use a three-point dynamics system that will cause the carriage to realistically drift in the air behind its two engines. Unlike the movie, which features 18 opposing racers, Episode I Racer stars more than 21 characters complete with their rides, including three pods based on original design concepts that weren't used in the final film.",LucasArts,Racing,7.2,Good,N64 GBC Mac DC PS PC,49.99 USD,Nintendo,E for Everyone,No Descriptors,"http://www.ign.com/games/mario-kart-64/n64-502,http://www.ign.com/games/diddy-kong-racing/n64-2146,http://www.ign.com/games/f-zero-x/n64-418,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933","May 19, 1999",http://ign64.ign.com/articles/160/160490p1.html,Star Wars: Episode I: Racer,http://www.ign.com/games/star-wars-episode-i-racer/n64-10490
8.7,Great,"Hotel/retail sim. Designed by the same designer as the successful SimTower. Yoot Tower is essentially an ever-so-slightly modified version of its predecessor. Considering the fun factor of the original, that can be a good thing.",OPeNBook9003,Strategy,7.8,Good,PC Mac,,SEGA,E for Everyone,,"http://www.ign.com/games/halo-wars-2/pc-20041132,http://www.ign.com/games/starcraft-remastered/pc-20066763,http://www.ign.com/games/rome-total-war-2/pc-136961,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","May 1, 1999",http://pc.ign.com/articles/161/161789p1.html,Yoot Tower,http://www.ign.com/games/yoot-tower/pc-11789
8.0,Great,Push your car to the limits in High Stakes racing for prize money to customize and buy your dream cars. Gamble your car on single races or develop your career. Cars can be damaged and a new Hot Pursuit mode has been added requiring you to avoid being caught by the police. Features eighteen models of cars on nineteen courses.,Electronic Arts,Racing,7.5,Good,PC PS,14.99 USD,Electronic Arts,E for Everyone,Suitable for Persons Ages Six and Older,"http://www.ign.com/games/forza-horizon-3/pc-20054784,http://www.ign.com/games/flatout-4/pc-20068143,http://www.ign.com/games/ubisoft-the-crew/pc-20000080,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Jun 20, 1999",http://pc.ign.com/articles/161/161562p1.html,Need for Speed: High Stakes,http://www.ign.com/games/need-for-speed-high-stakes/pc-11562
7.8,Good,"After narrowly escaping the Skaarj invaded planet Na Pali, you find yourself stranded in space; fortunately you are soon rescued - but unfortunately, your saviors want you to go down again. A simple mission, find a downed spacecraft... Or is it? 17 new levels, 2 new weapons and 3 new monsters are here to prove the contrary.",Epic Games,Action,8.0,Great,PC Linux,,GT Interactive,M for Mature,"Animated Blood and Gore, Animated Violence","http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/metal-gear-solid-5/pc-20023125,http://www.ign.com/games/resident-evil-7/pc-20054862,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","May 31, 1999",http://pc.ign.com/articles/161/161653p1.html,Unreal Mission Pack: Return to Na Pali,http://www.ign.com/games/unreal-mission-pack-return-to-na-pali/pc-11653
7.8,Good,"Meet your caddy at the tee. Golf for Game Boy brings you 32 holes of realistic golf action with hazards that change every time you play. Each hole has tricky hazards, so strategy is a must. Read the wind direction, check the distance, select a club, adjust your swing and keep your eye on the ball. Then, drive it home. A scorecard will keep track of your points for each hole. From twisting fairways and hungry sandtraps to big water hazards and deceptive greens, Golf is packed with challenges.",Intelligent Systems,Sports,9.0,Amazing,GB 3DS,,Nintendo,E for Everyone,,"http://www.ign.com/games/bo-jackson-two-games-in-one/gb-4083,http://www.ign.com/games/madden-nfl-96/gb-10972,http://www.ign.com/games/baseball/gb-12953,http://www.ign.com/games/pokemon-red-version/gb-9846,http://www.ign.com/games/pokemon-blue-version/gb-16708,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045",1989,http://gameboy.ign.com/articles/154/154116p1.html,Golf,http://www.ign.com/games/golf/gb-4116
8.3,Great,"Ante up! VEGAS STAKES for the Game Boy offers you the chance to gamble your way through Las Vegas with a whole assortment of games to play. There are five games, including such classics as slot machines, Blackjack, and poker. There are four different casinos to visit that offer up different betting structures and varying odds. The game starts you out with $1,000, but the sky's the limit if you win. Along the way you'll also meet some people who will offer you the chance to join in some side betting, such as horse racing or boxing matches. If you feel that a bet is not entirely in your favor, a battery save option is available just in case it doesn't pan out as you had hoped. VEGAS STAKES is just like the real city: exuberant, exciting, and above all else, unpredictable.",Nintendo,Simulation,7.0,Good,GB SNES Wii U Wii,29.99 USD,Nintendo,K-A for No Rating,Gambling,"http://www.ign.com/games/harvest-moon-gb/gb-10181,http://www.ign.com/games/densha-de-go/gb-679590,http://www.ign.com/games/legend-of-the-sea-king-2/gb-10984,http://www.ign.com/games/pokemon-red-version/gb-9846,http://www.ign.com/games/pokemon-blue-version/gb-16708,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045",1995,http://gameboy.ign.com/articles/161/161994p1.html,Vegas Stakes,http://www.ign.com/games/vegas-stakes/gb-11994
8.9,Great,"In a genre that often lacks originality, Ape Escape shines with innovations that utilize the DualShock controller like never before. Each level in Ape Escape requires you to capture a set number of apes using a variety of gadgets which are provided by the mad professor (who let all the monkeys loose in the first place). The control is definitely a plus of this game -- the left stick on the pad controls the movement of the main character, the right stick operates the chosen weapon or tool and points it in whichever direction you choose. Extensive use of the two sticks is necessary throughout the game for everything from swimming to rowing a boat.",Sony Computer Entertainment,Platformer,9.5,Amazing,PS PSP PS3,14.99 USD,Sony Computer Entertainment,E for Everyone,,"http://www.ign.com/games/crash-bandicoot/ps-603,http://www.ign.com/games/crash-bandicoot-warped/ps-3919,http://www.ign.com/games/crash-bandicoot-2-cortex-strikes-back/ps-2037,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","June 22, 1999",http://psx.ign.com/articles/161/161105p1.html,Ape Escape,http://www.ign.com/games/ape-escape/ps-11105
9.3,Amazing,"It's the game that started a revolution, but it's not just the fad that convinced gamers to ""catch 'em all."" This deceptively simple and child-friendly role-playing game design is a far deeper game design than it looks. Pokemon features way more strategy and gameplay than it leads on, offering gamers almost infinite gaming possibilities even after the main adventure ends.

Are you a good trainer? Find out as you try to capture and train pocket monsters, otherwise known as Pokemon. As Ash Ketchum, you'll pursue a variety of different monsters. Train them well, and they'll evolve into more powerful monsters. Work through the game to defeat eight Gym leaders, and trade with your friends' copies of Pokemon Red/Blue/Yellow in order to collect all 150 Pokemon!","Nintendo, Game Freak","Turn-Based, RPG",10,Masterpiece,GB 3DS,29.95 USD,Nintendo,E for Everyone,Animated Violence,"http://www.ign.com/games/pokemon-red-version/gb-9846,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045,http://www.ign.com/games/pokemon-green-version/gb-16831,http://www.ign.com/games/pokemon-red-version/gb-9846,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045,http://www.ign.com/games/pokemon-green-version/gb-16831",September 1998,http://gameboy.ign.com/articles/166/166708p1.html,Pokemon Blue Version,http://www.ign.com/games/pokemon-blue-version/gb-16708
7.8,Good,,Natsume,Simulation,8.0,Great,GB,,Natsume,E for Everyone,,"http://www.ign.com/games/densha-de-go/gb-679590,http://www.ign.com/games/vegas-stakes/gb-11994,http://www.ign.com/games/legend-of-the-sea-king-2/gb-10984,http://www.ign.com/games/pokemon-red-version/gb-9846,http://www.ign.com/games/pokemon-blue-version/gb-16708,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045",1998,http://gameboy.ign.com/articles/160/160181p1.html,Harvest Moon,http://www.ign.com/games/harvest-moon-gb/gb-10181
9.3,Amazing,"It's the game that started a revolution, but it's not just the fad that convinced gamers to ""catch 'em all."" This deceptively simple and child-friendly role-playing game design is a far deeper game design than it looks. Pokemon features way more strategy and gameplay than it leads on, offering gamers almost infinite gaming possibilities even after the main adventure ends.

Are you a good trainer? Find out as you try to capture and train pocket monsters, otherwise known as Pokemon. As Ash Ketchum, you'll pursue a variety of different monsters. Train them well, and they'll evolve into more powerful monsters. Work through the game to defeat eight Gym leaders, and trade with your friends' copies of Pokemon Red/Blue/Yellow in order to collect all 150 Pokemon!","Nintendo, Game Freak","Turn-Based, RPG",10,Masterpiece,GB 3DS,29.95 USD,Nintendo,E for Everyone,Animated Violence,"http://www.ign.com/games/pokemon-blue-version/gb-16708,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045,http://www.ign.com/games/pokemon-green-version/gb-16831,http://www.ign.com/games/pokemon-blue-version/gb-16708,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045,http://www.ign.com/games/pokemon-green-version/gb-16831",September 1998,http://gameboy.ign.com/articles/159/159846p1.html,Pokemon Red Version,http://www.ign.com/games/pokemon-red-version/gb-9846
7.5,Good,"An arms smuggling ring threatens to create a new world order. The peace and security of the entire planet is at stake. MI6 sent agent 008 into Turkey to dismantle the operation. Soon thereafter, all contact was lost with 008. M makes a decision to send their best agent, James Bond, to investigate the whereabouts of 008. As Bond carries out this latest order, he becomes entangled in his deadliest mission yet!

As James Bond, you must use all of your expertise to unravel the sinister plot. It is up to you to determine friend from foe as you uncover clues. Along the way, weapons and items will be found that assist you in overcoming the many obstacles placed in your path. Be sure to keep an eye open for Q and his unique brand of help. Be careful, bond -- you may not be able to charm everyone.",Saffire,Action,7.0,Good,GB,,Nintendo,E for Everyone,"Mild Animated Violence, Gaming","http://www.ign.com/games/the-legend-of-zelda-links-awakening/gb-5950,http://www.ign.com/games/metroid-ii-return-of-samus/gb-9335,http://www.ign.com/games/home-alone/gb-10416,http://www.ign.com/games/pokemon-red-version/gb-9846,http://www.ign.com/games/pokemon-blue-version/gb-16708,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045",1998,http://gameboy.ign.com/articles/159/159461p1.html,James Bond 007 [1998],http://www.ign.com/games/james-bond-007-1998/gb-9461
7.9,Good,"The Lockheed Martin F-16 plays the starring role in this thorough flight simulator. You'll fly over a world that spans more than nine million kilometers, making your way through serious atmospheric conditions, variable weather, and both day and night flights. With a whopping 40 missions covering the African continent, the game ensures that you'll have plenty to see: Morocco, Ethiopia, Kenya, the Serengeti, the Atlas Mountain Range, and more. Real-time voice sampling, 3D graphics, and plenty of other perks combine to make this one awesome package.",Virgin Interactive,Simulation,7.3,Good,PC,64.99 USD,Bethesda  Softworks,E for Everyone,Animated Violence,"http://www.ign.com/games/civilization-beyond-earth/pc-20016115,http://www.ign.com/games/simcity/pc-128952,http://www.ign.com/games/civilization-beyond-earth-rising-tide/pc-20040683,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Apr 12, 1999",http://pc.ign.com/articles/159/159920p1.html,F-16 Aggressor,http://www.ign.com/games/f-16-aggressor/pc-9920
7.7,Good,"Take control of the Gruntz, a lovable and annoying batch of creatures trying to find their way home. After fleeing through a wormhole to avoid an attack by their evil cousins, the Disgruntled, they are stranged in a strange world and have to fight their way back home. The game is half-puzzle, half-strategy. Your Gruntz move around the map collecting items, activating switches and killing Disgruntledz. The overall goal in the single player, or Questz, game is to recover 36 pieces of the warpstone. There are four pieces scattered in each of 8 different worlds. Each level requires you to retrieve the warpstone piece and take it to the Gruntz king on that level.",Monolith Productions,Puzzle,6.0,Okay,PC,9.99 USD,Monolith Productions,E for Everyone,Comic Mischief,"http://www.ign.com/games/the-witness/pc-23509,http://www.ign.com/games/valiant-hearts-the-great-war/pc-20005430,http://www.ign.com/games/never-alone/pc-20017754,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Feb 28, 1999",http://pc.ign.com/articles/161/161560p1.html,Gruntz,http://www.ign.com/games/gruntz/pc-11560
,,"Customize your very own racecar and slide into the driver's seat for a chase you'll never forget. Choose from 16 cars and get ready to enjoy arcade-style racing on your PC. Six different tracks will put your driving skills to the test, and four unique perspectives allow you to watch the race however you like. Decide whether you want to face off against 19 computer-driven cars in Championship mode, or try your hand at Multiplayer, Time Attack, or Quick Race modes. Variable weather conditions and awesome, 3D graphics make things very realistic.",Boss Game Studios,Racing,7.3,Good,PC N64 GBA,29.99 USD,SouthPeak Games,E for Everyone,No Descriptors,"http://www.ign.com/games/forza-horizon-3/pc-20054784,http://www.ign.com/games/flatout-4/pc-20068143,http://www.ign.com/games/ubisoft-the-crew/pc-20000080,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","May 15, 1999",http://pc.ign.com/articles/154/154004p1.html,Boss Rally,http://www.ign.com/games/boss-rally/pc-4004
8.1,Great,"You will guide the actions of a group of four heroes -- armored swordsmen, daring thieves, gifted archers and wielders of arcane sorcery -- as they explore the land, sea and subterranean passages in search of treasure and glory.

Your characters will begin their journey possessing only the most basic skills and equipment, and are barely deserving of the title ""adventurer."" As they continue, however, they will acquire personal abilities, enchanted artifacts, deadly weapons, and powerful knowledge, all of which they will need to face the greater challenges ahead.",New World Computing,RPG,7.7,Good,PC,14.99 USD,3DO,T for Teen,"Blood, Animated Violence","http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505,http://www.ign.com/games/the-witcher-3/pc-134497,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","Jun 8, 1999",http://pc.ign.com/articles/160/160208p1.html,Might and Magic VII: For Blood and Honor,http://www.ign.com/games/might-and-magic-vii-for-blood-and-honor/pc-10208
7.3,Good,"There's no need to drag a pool table around anymore whenever you want to play billiards. All you have to do is get a copy of CHAMPIONSHIP POOL for the Game Boy. You can shoot some stick in four different modes: Tournament, Party, Freestyle, and Challenge. Tournament pits you against the best players the computer can offer. If you keep missing shots, you can use the Challenge mode to get in some practice. The Freestyle mode lets you create your own games, and if you have a lot of friends the Party mode will let up to eight people play using the same Game Boy. Every kind of billiards game is available including 3-Ball, 9-Ball, 8-Ball, 10-Ball, 14-1 Continuous, Rotation, 15-Ball, Straight Pool, Equal Offense, and Speed Pool. Now you can play billiards anywhere with CHAMPIONSHIP POOL.",Software Toolworks,Sports,4.0,Bad,GB NES Gen SNES,14.99 USD,Software Toolworks,E for Everyone,,"http://www.ign.com/games/golf/gb-4116,http://www.ign.com/games/bo-jackson-two-games-in-one/gb-4083,http://www.ign.com/games/madden-nfl-96/gb-10972,http://www.ign.com/games/pokemon-red-version/gb-9846,http://www.ign.com/games/pokemon-blue-version/gb-16708,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045",1993,http://gameboy.ign.com/articles/162/162000p1.html,Championship Pool,http://www.ign.com/games/championship-pool/gb-12000
5.3,Mediocre,"Have you ever played a fighting game and thought you could come up with something better? Then it's time to put your money where your mouth is with FIGHTER MAKER. You can create the character of your dreams, because every aspect can be edited: you can alter wardrobe, hair color, muscle tone, and skin color. Developing poses and artificial intelligence for your characters will bring them to life. For those who like some plot in their fighting games, you can create detailed profiles and histories for every character you create. Once you have a character that looks right, create the moves, combinations, and throws that will allow your fighter to become the greatest. Be sure to give all of your moves damage values, because you want that awesome kick or throw to cause a serious amount of damage. If you don't like something in FIGHTER MAKER, you can always change it. If you ever thought you could create the ultimate fighting machine, now's your chance with FIGHTER MAKER.",ASCII Entertainment,Fighting,8.0,Great,PS,48.99 USD,ASCII Entertainment,T for Teen,Animated Violence,"http://www.ign.com/games/street-fighter-alpha/ps-181,http://www.ign.com/games/digimon-world-2/ps-16355,http://www.ign.com/games/tekken-3/ps-2294,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673",Cancelled,http://psx.ign.com/articles/153/153775p1.html,Fighter Maker,http://www.ign.com/games/fighter-maker/ps-3775
8.8,Great,"The gods are out to destroy the universe. When their meteor collides with the planet Expel, the paths of two heroes will cross and the fate of the universe will lie in their hands. You take the role of either Rena or Claude. While both characters are on the same quest, there are times when they will take separate paths. Naturally, both characters develop different skills throughout the game and along the way their actions determine which other characters in the game can be recruited. You can also spend skill points to learn new abilities that will improve your chances of success. Ultimately, both Rena and Claude will be able to create new items with their skills and some raw material. When you encounter enemies, all of the battles take place in real-time in beautifully rendered environments. It's up to you to try and save the universe from the gods in STAR OCEAN: The Second Story.","Tri-Ace, Enix","Third-Person, Action",8.8,Great,PS,24.99 USD,Sony Computer Entertainment,E for Everyone,"Animated Violence, Mild Language","http://www.ign.com/games/metal-gear-solid/ps-569,http://www.ign.com/games/resident-evil-3-nemesis/ps-11482,http://www.ign.com/games/resident-evil-2/ps-504,http://www.ign.com/games/final-fantasy-tactics/ps-26,http://www.ign.com/games/alundra/ps-2018,http://www.ign.com/games/blood-omen-legacy-of-kain/ps-2024,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","May 31, 1999",http://psx.ign.com/articles/154/154057p1.html,Star Ocean: The Second Story,http://www.ign.com/games/star-ocean-the-second-story/ps-4057
6.4,Okay,"JEFF GORDON XS RACING puts futuristic racing in the palm of your hand. Choose from five different cars and race on seven tracks. Try to get the fastest lap time on an empty track in the Time Trial mode, and when you want some competition, try to become a racing champion in the Championship mode. Do you have the skills to beat Jeff Gordon? Find out by playing JEFF GORDON XS RACING.",Real Sports,Racing,7.0,Good,PC N64 GBC PS,9.99 USD,ASC Games,E for Everyone,Animated Violence,"http://www.ign.com/games/forza-horizon-3/pc-20054784,http://www.ign.com/games/flatout-4/pc-20068143,http://www.ign.com/games/ubisoft-the-crew/pc-20000080,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505","May 31, 1999",http://pc.ign.com/articles/160/160649p1.html,Jeff Gordon XS Racing,http://www.ign.com/games/jeff-gordon-xs-racing/pc-10649
7.0,Good,"Strap on a helmet and negotiate turns at more than 200 mph in F-1 RACE. Choose between two different cars and try to tackle 14 unique tracks. Use the Time Trials to improve your driving skills, and then take on the international competition in the Grand Prix mode. If you want a challenge, invite a friend over, get the link cable, and drop the green flag to start the race. Don't worry about losing your fastest times or your place thanks to a battery backup. Put the pedal to metal in F-1 RACE.",Nintendo,Racing,7.0,Good,GB,1.99 USD,Nintendo,E for Everyone,,"http://www.ign.com/games/dead-heat-scramble/gb-4106,http://www.ign.com/games/motocross-maniacs/gb-9611,http://www.ign.com/games/wave-race/gb-12388,http://www.ign.com/games/pokemon-red-version/gb-9846,http://www.ign.com/games/pokemon-blue-version/gb-16708,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045","Feb. 20, 1991",http://gameboy.ign.com/articles/154/154111p1.html,F-1 Race,http://www.ign.com/games/f-1-race/gb-4111
7.1,Good,"BOGGLE PLUS brings word-forming fun to the Game Boy. You can play classic Boggle, where you must form words of at least three letters from a board filled with randomly generated letters. Other modes of play include Big Boggle, where there are more letters; Categories, where you must find words that are related to a topic; Anagrams, which calls for you to unscramble words; and Use All, in which the goal is to use every letter on the board. Since there is a dictionary that contains 35,000 words, it is unlikely that you will find a word that has not been included. If that happens, you can override the dictionary for such an emergency. You can also challenge your friends to game via a link cable. Now you can test your brain and your spelling skills with BOGGLE PLUS.",Parker Bros.,Puzzle,6.0,Okay,GB,14.91 USD,Parker Bros.,,,"http://www.ign.com/games/tetris-nintendo/gb-5985,http://www.ign.com/games/catrap/gb-9347,http://www.ign.com/games/marios-picross/gb-4127,http://www.ign.com/games/pokemon-red-version/gb-9846,http://www.ign.com/games/pokemon-blue-version/gb-16708,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045",1992,http://gameboy.ign.com/articles/161/161982p1.html,Boggle Plus,http://www.ign.com/games/boggle-plus/gb-11982
7.7,Good,"Game Boy adaptation of the multiplayer hit. When using a Super Game Boy on the Super Famicom, up to four players can go head-to-head in battle mode. Only released in Japan, an altered version of this title was brought to the US as Wario Blast Featuring Bomberman.

Not to be confused with the US version of Bomberman GB -- which is actually called Bomberman GB 2.",Hudson Soft,Action,8.0,Great,GB,,Nintendo,,,"http://www.ign.com/games/the-legend-of-zelda-links-awakening/gb-5950,http://www.ign.com/games/metroid-ii-return-of-samus/gb-9335,http://www.ign.com/games/home-alone/gb-10416,http://www.ign.com/games/pokemon-red-version/gb-9846,http://www.ign.com/games/pokemon-blue-version/gb-16708,http://www.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045",,http://gameboy.ign.com/articles/159/159831p1.html,Bomberman GB (Japan),http://www.ign.com/games/bomberman-gb-japan/gb-9831
6.8,Okay,"Get ready to rack 'em up and knock 'em in with ULTIMATE 8 BALL. Play against eight shady pool hall-type characters as you master the art of billiards. There are 14 different pool games to choose from, such as 8 Ball, 9 Ball, Straight Pool, Speed Pool, Single Pocket, and Cutthroat. Just like in a real game of pool, you soon discover that cueing up and shooting the ball isn't enough you must also learn to put the correct spin or English on the ball. Caught in a tight corner behind the 8 ball? Try an airborne shot. Strange characters such as Wipeout, Ed Case, Sayonara Kid, and Slim Chance challenge you on fields that become more bizarre with each passing game argyle-patterned felt to diamond-shaped or even L-shaped tables will surprise and challenge you. Compete in a Single-Player Match or try the Hustle mode against whichever opponent the game throws at you. You can also arrange tournaments with up to 15 friends for some intense multiplayer games. Take an action-packed break with ULTIMATE 8 BALL.",Mirage Technologies,Sports,8.0,Great,PS PC PC,43.99 USD,THQ,E for Everyone,,"http://www.ign.com/games/ncaa-football-2001/ps-14657,http://www.ign.com/games/nhl-2001/ps-14658,http://www.ign.com/games/tony-hawks-pro-skater-2/ps-14304,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673","June 19, 1999",http://psx.ign.com/articles/161/161230p1.html,Ultimate 8 Ball,http://www.ign.com/games/ultimate-8-ball/ps-11230
6.8,Okay,"KLAX brings more puzzle-game madness to the Game Boy Color. You take control of a paddle at the end of a conveyer belt, while colored tiles flip toward you down the conveyer belt. You must collect and arrange the tiles into horizontal, vertical, or diagonal groups of three referred to as klaxes. To a clear a stage, you must meet certain goals, which can include obtaining a certain number of klaxes, creating a particular arrangement of tiles, or collecting a certain number of tiles on your paddle. All of the digitized audio from the arcade version of the game has been captured and put on the Game Boy Color as well. See how many stages you can get through in KLAX.",Digital Eclipse Software,Puzzle,8.0,Great,GBC GBA Amiga NES SMS GB TG16 Lynx Gen GG 7800 2600 Arcade 5200,34.99 USD,Midway  Games,E for Everyone,No Descriptors,"http://www.ign.com/games/tonka-construction-site/gbc-662099,http://www.ign.com/games/pokemon-puzzle-challenge/gbc-13800,http://www.ign.com/games/shanghai-pocket/gbc-10787,http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402","Jun 20, 1999",http://gameboy.ign.com/articles/161/161523p1.html,Klax,http://www.ign.com/games/klax/gbc-11523
6.4,Okay,,Handmade Software,Adventure,7.0,Good,Lynx,,Atari Corp. (1984-2003),,,"http://www.ign.com/games/distant-lands/lynx-15985,http://www.ign.com/games/checkered-flag/lynx-4136,http://www.ign.com/games/toki/lynx-5879,http://www.ign.com/games/shanghai-809520/lynx-5876",1991,http://gameboy.ign.com/articles/155/155849p1.html,Dracula the Undead,http://www.ign.com/games/dracula-the-undead/lynx-5849
7.2,Good,,"NuFX, Inc.",Action,8.0,Great,Lynx Arcade,,Atari Corp. (1984-2003),,,"http://www.ign.com/games/robotron-2084/lynx-4147,http://www.ign.com/games/battlezone-2000/lynx-4132,http://www.ign.com/games/apb/lynx-5847,http://www.ign.com/games/checkered-flag/lynx-4136,http://www.ign.com/games/toki/lynx-5879,http://www.ign.com/games/shanghai-809520/lynx-5876",1991,http://gameboy.ign.com/articles/154/154143p1.html,Hydra,http://www.ign.com/games/hydra/lynx-4143
6.0,Okay,,"NuFX, Inc.",Racing,6.0,Okay,Lynx Amiga ZX NES CPC Gen,,Atari Corp. (1984-2003),,,"http://www.ign.com/games/checkered-flag/lynx-4136,http://www.ign.com/games/ivan-ironman-stewarts-super-off-road/lynx-4162,http://www.ign.com/games/stun-runner/lynx-4160,http://www.ign.com/games/checkered-flag/lynx-4136,http://www.ign.com/games/toki/lynx-5879,http://www.ign.com/games/shanghai-809520/lynx-5876",1991,http://gameboy.ign.com/articles/154/154142p1.html,Hard Drivin',http://www.ign.com/games/hard-drivin/lynx-4142
